"ngram","target","top","accuracy"
"not made to be ","worn","a",NA
"st scheduled to open ","sept","to",NA
"also serves four craft ","beers","beer",NA
"201 lincoln ave interment ","in","NA",NA
"as lightning have been ","ruled","a",NA
"dessert talents is opening ","her","up",NA
"with 743 remaining in ","the","the","1"
"right now the residents ","have","said","2"
"april 28 in the ","cranford","first",NA
"little corner with this ","understated","is",NA
"first few months seemed ","to","to","1"
"ages ranged from the ","early","first",NA
"sorry ive seen the ","commercials","first",NA
"and i probably will ","sit","be",NA
"punishing my child with ","public","the",NA
"with only cds to ","be","the","2"
"underwear backward isnt that ","big","the",NA
"start to have problems ","i","with",NA
"12 springfield ave cranford ","httpwwwgrayfuneralhomescom","NA",NA
"first of all jeans ","are","often",NA
"were 3 pm saturday ","april","and",NA
"and its hard to ","walk","the",NA
"to seek out new ","sources","york",NA
"as eb5 was littleknown ","until","federal",NA
"shirt the wrong way ","round","to",NA
"weekend of the season ","they","and",NA
"year — especially with ","a","the","2"
"aspect of this case ","because","of",NA
"officials say the blaze ","is","he",NA
"especially with a college ","degree","in",NA
"give your parents very ","strange","much",NA
"probed as suspicious mainly ","due","because",NA
"corsos wines can be ","ordered","a",NA
"batting 224 his onbase ","percentage","percentage","1"
"get started around 630 ","pm","am","2"
"wearing underwear backward isnt ","that","the",NA
"inches of snow followed ","by","by","1"
"as france australia and ","bermuda","the",NA
"ave interment in fairview ","cemetery","ore",NA
"merguez sausage dates fennel ","and","and","1"
"cranford httpwwwgrayfuneralhomescom to offer ","condolences","a",NA
"glass 275675 glass 61350 ","and","NA",NA
"be worn that way ","and","to",NA
"the remote area where ","it","i",NA
"can be ordered by ","the","the","1"
"and bermuda they have ","different","a",NA
"mcmullen of arlington avenue ","was","and",NA
"temporary restraining order to ","prevent","the",NA
"the perceived fears are ","the","you","2"
"more attractive after the ","exhibition","first",NA
"also refused to embarrass ","his","NA",NA
"bed use is linked ","to","to","1"
"internal and state tests ","to","for","2"
"when milan will be ","the","a","2"
"behind a balanced attack ","rallied","of",NA
"of trucks and fuelefficient ","vehicles","vehicles","1"
"regents requested at a ","meeting","lot",NA
"of the gods — ","thrives","a",NA
"a 50000 technology grant ","to","requirements",NA
"protecting 25 to 50 ","bitter","years",NA
"big problems the laptop ","was","an",NA
"board in the eighth ","when","game",NA
"inches long with a ","gooey","lot",NA
"so mad that president ","theodore","of",NA
"month another judge threw ","out","a",NA
"out on the ice ","to","cream",NA
"in previous testimony at ","trial","the",NA
"before a packed room ","including","for",NA
"recurring venous thromboembolism deep ","vein","blue",NA
"breathe i heard her ","he","to",NA
"nationwide in obstacle course ","mud","i",NA
"your support the trail ","blazers","is",NA
"restraining order to prevent ","the","us","3"
"school for the arts ","academics","and",NA
"analytical powers he took ","this","a",NA
"the match over the ","cadets","first",NA
"miss manners doesnt have ","to","a","2"
"films and documentaries from ","around","the",NA
"bunch said flatly james ","is","and",NA
"more culturally vibrant but ","i","i","1"
"took this team to ","the","the","1"
"by none other than ","tipping","a",NA
"could cost service time ","needed","to",NA
"hourlong talk santorum never ","mentioned","been",NA
"college scholarship google also ","will","a",NA
