"ngrams","freq","last"
"the end of ",480,"the"
"for the first ",441,"time"
"the rest of ",410,"the"
"at the same ",351,"time"
"at the end ",320,"of"
"is one of ",301,"the"
"one of the ",285,"most"
"in the middle ",254,"of"
"one of the ",242,"best"
"is going to ",227,"be"
"in front of ",211,"the"
"as a result ",199,"of"
"when it comes ",198,"to"
"will be able ",189,"to"
"thanks for the ",186,"follow"
"its going to ",186,"be"
"was one of ",183,"the"
"for the rest ",180,"of"
"on the other ",175,"hand"
"are going to ",172,"be"
"little more than ",169,"a"
"the bottom of ",167,"the"
"by the end ",166,"of"
"said in a ",165,"statement"
"going to be ",165,"a"
"i was going ",158,"to"
"have a lot ",153,"of"
"a bit of ",153,"a"
"if you want ",147,"to"
"a result of ",146,"the"
"i dont want ",144,"to"
"executive director of ",137,"the"
"in the united ",136,"states"
"to be able ",135,"to"
"end of the ",133,"day"
"i am going ",133,"to"
"we are going ",132,"to"
"as well as ",131,"the"
"i want to ",130,"be"
"the front of ",130,"the"
"the top of ",129,"the"
"be one of ",125,"the"
"turned out to ",124,"be"
"a home assessed ",124,"at"
"for a home ",124,"assessed"
"in the way ",123,"of"
"cant wait to ",122,"see"
"the middle of ",119,"the"
"in the name ",116,"of"
"i was able ",115,"to"
"the best way ",115,"to"
"in the first ",114,"place"
"one of my ",114,"favorite"
"by the time ",111,"the"
"thank you so ",110,"much"
"thanks for the ",108,"rt"
"as part of ",106,"the"
"a little more ",106,"than"
"had a lot ",106,"of"
"are some of ",105,"the"
"i would like ",105,"to"
"at the university ",103,"of"
"to give it ",103,"a"
"in the midst ",103,"of"
"the first time ",101,"since"
"had a chance ",101,"to"
"on top of ",100,"the"
"a lot of ",100,"these"
"thank you for ",100,"the"
"there are so ",99,"many"
"at a time ",99,"when"
"in the first ",98,"half"
"the cost of ",96,"the"
"a lot of ",96,"good"
"player of the ",96,"year"
"the company said ",95,"it"
"who said he ",95,"was"
"the other side ",95,"of"
"of the st ",95,"louis"
"in the hands ",94,"of"
"for a long ",94,"time"
"in addition to ",94,"the"
"with a lot ",94,"of"
"when i was ",94,"a"
"to do with ",93,"the"
"a couple of ",93,"days"
"trying to figure ",93,"out"
"a member of ",93,"the"
"they are going ",93,"to"
"defensive player of ",93,"the"
"to get out ",93,"of"
"a few years ",92,"ago"
"the time of ",92,"the"
"and i want ",92,"to"
"the size of ",92,"the"
"to the point ",91,"where"
"at the top ",91,"of"
"and one of ",91,"the"
"get in the ",91,"way"
"in an attempt ",91,"to"
"it was one ",90,"of"
"here are some ",90,"of"
"and there was ",90,"a"
"a lot of ",90,"people"
"i dont know ",89,"what"
"in and out ",89,"of"
"the center of ",89,"the"
"for a couple ",89,"of"
"a little bit ",88,"of"
"i would love ",88,"to"
"what was going ",88,"on"
"want to be ",87,"a"
"i cant wait ",86,"to"
"the first time ",86,"in"
"a lot of ",85,"the"
"i have to ",85,"say"
"wont be able ",85,"to"
"all of a ",85,"sudden"
"you dont want ",85,"to"
"be part of ",84,"the"
"a copy of ",84,"the"
"in front of ",83,"a"
"as far as ",83,"the"
"to be part ",83,"of"
"have a chance ",82,"to"
"to one of ",81,"the"
"i have no ",81,"idea"
"are going to ",81,"have"
"as a way ",81,"to"
"i want to ",81,"do"
"a great way ",80,"to"
"to go to ",80,"the"
"what do you ",80,"think"
"for those who ",80,"have"
"do a lot ",79,"of"
"you would like ",79,"to"
"in a variety ",79,"of"
"if i can ",79,"get"
"the fact that ",78,"the"
"this will be ",78,"the"
"to take part ",78,"in"
"just in time ",78,"for"
"to get rid ",77,"of"
"going to have ",77,"to"
"the author of ",77,"the"
"and the united ",76,"states"
"on the one ",76,"hand"
"be a part ",76,"of"
"this is the ",75,"first"
"is expected to ",75,"be"
"there are a ",75,"lot"
"the best of ",75,"the"
"in new york ",75,"city"
"this is one ",75,"of"
"and as a ",75,"result"
"want to go ",75,"to"
"as one of ",75,"the"
"so much for ",74,"the"
"the cause of ",74,"the"
"in a series ",74,"of"
"the white house ",74,"and"
"a long time ",74,"and"
"as much as ",74,"i"
"the first time ",74,"i"
"everything in his ",73,"power"
